ConstCode,PageLink
3111,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=sindhuli1
3112,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=sindhuli2
3121,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=makwanpur1
3122,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=makwanpur2
3131,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=chitwan1
3132,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=chitwan2
3133,https://election.onlinekhabar.com/central-chetra/?chetra_id=86
4011,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=gorkha1
4012,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=gorkha2
4021,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=manang1
4031,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=mustang1
4041,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=myagdi1
4051,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=kaski1
4052,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=kaski2
4053,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=kaski3
4061,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=lamjung1
4071,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=tanahu1
4072,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=tanahu1
4081,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=nawalpur1
4082,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=nawalpur2
4091,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=syangja1
4092,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=syangja2
4101,https://election.onlinekhabar.com/central-chetra/?chetra_id=101
4111,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=baglung1
4112,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=baglung2
5011,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=rukum1
5021,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=rolpa1
