StateID,State,Dcode,District,ConstCode,Constituency,X,Y,Font_size
3,बागमती प्रदेश,308,ललितपुर,3081,ललितपुर-1,0,0,0
3,बागमती प्रदेश,308,ललितपुर,3082,ललितपुर-2,0,0,0
3,बागमती प्रदेश,308,ललितपुर,3083,ललितपुर-3,0,0,0
3,बागमती प्रदेश,309,काभ्रेपलाञ्चोक,3091,काभ्रेपलाञ्चोक-1,0,0,0
3,बागमती प्रदेश,309,काभ्रेपलाञ्चोक,3092,काभ्रेपलाञ्चोक-2,0,0,0
3,बागमती प्रदेश,310,रामेछाप,3101,रामेछाप-1,0,0,0
3,बागमती प्रदेश,311,सिन्धुली,3111,सिन्धुली-1,0,0,0
3,बागमती प्रदेश,311,सिन्धुली,3112,सिन्धुली-2,0,0,0
3,बागमती प्रदेश,312,मकवानपुर,3121,मकवानपुर-1,0,0,0
3,बागमती प्रदेश,312,मकवानपुर,3122,मकवानपुर-2,0,0,0
3,बागमती प्रदेश,313,चितवन,3131,चितवन-1,0,0,0
3,बागमती प्रदेश,313,चितवन,3132,चितवन-2,0,0,0
3,बागमती प्रदेश,313,चितवन,3133,चितवन-3,0,0,0
4,गण्डकी प्रदेश,401,गोरखा,4011,गोरखा-1,0,0,0
4,गण्डकी प्रदेश,401,गोरखा,4012,गोरखा-2,0,0,0
4,गण्डकी प्रदेश,402,मनाङ्ग,4021,मनाङ्ग-1,0,0,0
4,गण्डकी प्रदेश,403,मुस्तांग,4031,मुस्तांग-1,0,0,0
4,गण्डकी प्रदेश,404,म्याग्दी,4041,म्याग्दी-1,0,0,0
4,गण्डकी प्रदेश,405,कास्की,4051,कास्की-1,0,0,0
4,गण्डकी प्रदेश,405,कास्की,4052,कास्की-2,0,0,0
4,गण्डकी प्रदेश,405,कास्की,4053,कास्की-3,0,0,0
4,गण्डकी प्रदेश,406,लमजुंग,4061,लमजुंग-1,0,0,0
4,गण्डकी प्रदेश,407,तनहुँ,4071,तनहुँ-1,0,0,0
4,गण्डकी प्रदेश,407,तनहुँ,4072,तनहुँ-2,0,0,0
4,गण्डकी प्रदेश,408,नवलपरासी (बर्दघाट सुस्ता पूर्व),4081,नवलपरासी (बर्दघाट सुस्ता पूर्व)-1,0,0,0
4,गण्डकी प्रदेश,408,नवलपरासी (बर्दघाट सुस्ता पूर्व),4082,नवलपरासी (बर्दघाट सुस्ता पूर्व)-2,0,0,0
4,गण्डकी प्रदेश,409,स्याङ्जा,4091,स्याङ्जा-1,0,0,0
4,गण्डकी प्रदेश,409,स्याङ्जा,4092,स्याङ्जा-2,0,0,0
4,गण्डकी प्रदेश,410,पर्वत,4101,पर्वत-1,0,0,0
4,गण्डकी प्रदेश,411,बागलुङ,4111,बागलुङ-1,0,0,0
4,गण्डकी प्रदेश,411,बागलुङ,4112,बागलुङ-2,0,0,0
5,लुम्बिनी प्रदेश,501,रुकुम पूर्व,5011,रुकुम पूर्व-1,0,0,0
